sigla,nome,idh_classe,idh_ranking,idh_2021
SVN,Slovenia,Very High,23,0.918
SWE,Sweden,Very High,7,0.947
SWZ,Eswatini (Kingdom of),Medium,144,0.597
SYC,Seychelles,High,72,0.785
SYR,Syrian Arab Republic,Medium,150,0.577
TCD,Chad,Low,190,0.394
TGO,Togo,Low,162,0.539
THA,Thailand,Very High,66,0.8
TJK,Tajikistan,Medium,122,0.685
TKM,Turkmenistan,High,91,0.745
TLS,Timor-Leste,Medium,140,0.607
TON,Tonga,High,91,0.745
TTO,Trinidad and Tobago,Very High,57,0.81
TUN,Tunisia,High,97,0.731
TUR,Turkey,Very High,48,0.838
TUV,Tuvalu,Medium,130,0.641
TZA,Tanzania (United Republic of),Low,160,0.549
UGA,Uganda,Low,166,0.525
UKR,Ukraine,High,77,0.773
URY,Uruguay,Very High,58,0.809
USA,United States,Very High,21,0.921
UZB,Uzbekistan,High,101,0.727
VCT,Saint Vincent and the Grenadines,High,89,0.751
VEN,Venezuela (Bolivarian Republic of),Medium,120,0.691
VNM,Viet Nam,High,115,0.703
VUT,Vanuatu,Medium,140,0.607
WSM,Samoa,High,111,0.707
YEM,Yemen,Low,183,0.455
ZAF,South Africa,High,109,0.713
ZMB,Zambia,Medium,154,0.565
ZWE,Zimbabwe,Medium,146,0.593
